ym:s:visitID;ym:s:counterID;ym:s:watchIDs;ym:s:date;ym:s:dateTime;ym:s:dateTimeUTC;ym:s:isNewUser;ym:s:startURL;ym:s:endURL;ym:s:pageViews;ym:s:visitDuration;ym:s:bounce;ym:s:ipAddress;ym:s:params;ym:s:goalsID;ym:s:goalsSerialNumber;ym:s:goalsDateTime;ym:s:goalsPrice;ym:s:goalsOrder;ym:s:goalsCurrency;ym:s:clientID;ym:s:lastTrafficSource;ym:s:lastAdvEngine;ym:s:lastReferalSource;ym:s:lastSearchEngineRoot;ym:s:lastSearchEngine;ym:s:lastSocialNetwork;ym:s:lastSocialNetworkProfile;ym:s:referer;ym:s:lastDirectClickOrder;ym:s:lastDirectBannerGroup;ym:s:lastDirectClickBanner;ym:s:lastDirectPhraseOrCond;ym:s:lastDirectPlatformType;ym:s:lastDirectPlatform;ym:s:lastDirectConditionType;ym:s:lastCurrencyID;ym:s:from;ym:s:UTMCampaign;ym:s:UTMContent;ym:s:UTMMedium;ym:s:UTMSource;ym:s:UTMTerm;ym:s:openstatAd;ym:s:openstatCampaign;ym:s:openstatService;ym:s:openstatSource;ym:s:hasGCLID;ym:s:regionCountry;ym:s:regionCity;ym:s:browserLanguage;ym:s:browserCountry;ym:s:clientTimeZone;ym:s:deviceCategory;ym:s:mobilePhone;ym:s:mobilePhoneModel;ym:s:operatingSystemRoot;ym:s:operatingSystem;ym:s:browser;ym:s:browserMajorVersion;ym:s:browserMinorVersion;ym:s:browserEngine;ym:s:browserEngineVersion1;ym:s:browserEngineVersion2;ym:s:browserEngineVersion3;ym:s:browserEngineVersion4;ym:s:cookieEnabled;ym:s:javascriptEnabled;ym:s:flashMajor;ym:s:flashMinor;ym:s:screenFormat;ym:s:screenColors;ym:s:screenOrientation;ym:s:screenWidth;ym:s:screenHeight;ym:s:physicalScreenWidth;ym:s:physicalScreenHeight;ym:s:windowClientWidth;ym:s:windowClientHeight;ym:s:purchaseID;ym:s:purchaseDateTime;ym:s:purchaseAffiliation;ym:s:purchaseRevenue;ym:s:purchaseTax;ym:s:purchaseShipping;ym:s:purchaseCoupon;ym:s:purchaseCurrency;ym:s:purchaseProductQuantity;ym:s:productsPurchaseID;ym:s:productsID;ym:s:productsName;ym:s:productsBrand;ym:s:productsCategory;ym:s:productsCategory1;ym:s:productsCategory2;ym:s:productsCategory3;ym:s:productsCategory4;ym:s:productsCategory5;ym:s:productsVariant;ym:s:productsPosition;ym:s:productsPrice;ym:s:productsCurrency;ym:s:productsCoupon;ym:s:productsQuantity;ym:s:impressionsURL;ym:s:impressionsDateTime;ym:s:impressionsProductID;ym:s:impressionsProductName;ym:s:impressionsProductBrand;ym:s:impressionsProductCategory;ym:s:impressionsProductCategory1;ym:s:impressionsProductCategory2;ym:s:impressionsProductCategory3;ym:s:impressionsProductCategory4;ym:s:impressionsProductCategory5;ym:s:impressionsProductVariant;ym:s:impressionsProductPrice;ym:s:impressionsProductCurrency;ym:s:impressionsProductCoupon;ym:s:lastDirectClickOrderName;ym:s:lastClickBannerGroupName;ym:s:lastDirectClickBannerName;ym:s:networkType
1637481949078751101;34322390;[1637481949078751101];2017-04-02;2017-04-02 10:08:17;2017-04-02 10:08:17;1;http://perm.im-slim.ru/reviews;http://perm.im-slim.ru/reviews;1;15;0;176.59.203.xxx;[];[];[];[];[];[];[];1491116897599715108;organic;ya_undefined;yandex.ru;yandex;yandex_mobile;;;https://yandex.ru/search/touch/?text=диетолог пермь отзывы &lr=21741;;0;0;;;;;;;;;;;;;;;;0;Russia;;30066;30066;300;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;602;4;6;0;1;1;0;0;11;32;1;375;667;750;1334;980;1461;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1578139383903291237;34322390;[1578139383903291237];2017-03-30;2017-03-30 19:15:23;2017-03-30 19:15:23;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;28;0;31.173.100.xxx;[];[];[];[];[];[];[];1490890573944326687;referral;ya_undefined;link.2gis.ru;;;;;http://link.2gis.ru/1.2/0831010C/webapi/20170301/project16/2252328094701356/dietolog.org/kAc9pf48G44A591C4893G2G1147go394G4G6G7I2G29H0J33hcge835I4856G24526759B94fAl6uv0B934811479I62A531H1G7H0I243?http://perm.im-slim.ru;;0;0;;;;;;;;;;;;;;;;0;Russia;;30066;0;300;2;irbis;SP56;android;android_lollipop5;yandex_browser;15;4;WebKit;537;36;0;0;1;1;0;0;11;32;1;360;640;720;1280;980;1527;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;cellular
1554157260140711826;34322390;[1554157260140711826];2017-03-29;2017-03-29 17:50:39;2017-03-29 17:50:39;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;16;0;195.222.157.xxx;[];[];[];[];[];[];[];1490799080720007283;organic;ya_undefined;yandex.ru;yandex;yandex_search;;;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1375&l10n=ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;windows;windows_7_2008server;yandex_browser;17;3;WebKit;537;36;0;0;1;1;24;0;37;24;2;1366;768;1366;768;1349;660;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1522740597248502440;34322390;[1522740597248502440,1522768111669086063];2017-03-28;2017-03-28 08:33:14;2017-03-28 08:33:14;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/price;2;105;0;46.146.16.xxx;[];[];[];[];[];[];[];1490675593236756534;referral;ya_undefined;all81.ru;;;;;http://all81.ru/f/tsentr-snizheniya-vesa-doktora-gavrilova.html?from=69080;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;360;1;;;windows;windows_7_2008server;yandex_browser;17;3;WebKit;537;36;0;0;1;1;25;0;37;24;2;1366;768;1366;768;1349;670;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1570960829812838283;34322390;[1570960829812838283];2017-03-30;2017-03-30 11:38:59;2017-03-30 11:38:59;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;1;16;0;83.69.124.xxx;[];[];[];[];[];[];[];1490863161597043207;direct;ya_undefined;;;;;;;;0;0;;;;;;;;;;;;;;;;0;Russia;Kazan;30066;0;180;1;;;windows;windows10;chrome;56;0;WebKit;537;36;0;0;1;1;0;0;37;24;2;1600;900;1600;900;1583;770;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1500216991810848617;34322390;[1500216991810848617,1500228026277824372,1500255998697015156,1500259787842781307,1500260463341731963,1500268863737302736,1500282206256629619,1500283178955573101,1500321045070219097,1500327986051940472];2017-03-27;2017-03-27 08:41:13;2017-03-27 08:41:13;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/;10;424;0;95.167.70.xxx;[];[24311590,24311590];[1,2];[\'2017-03-27 08:41:55\',\'2017-03-27 08:43:42\'];[0,0];[\'\',\'\'];[,];1490593275863002893;organic;ya_undefined;yandex.ru;yandex;yandex_search;;;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1372&l10n=ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;windows;windows_7_2008server;chrome;56;0;WebKit;537;36;0;0;1;1;25;0;37;24;2;1536;864;1536;864;1519;771;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1597140327216185461;34322390;[1597140327216185461,1597156567764176782];2017-03-31;2017-03-31 15:23:26;2017-03-31 15:23:26;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/video;2;62;0;46.146.108.xxx;[];[];[];[];[];[];[];1490963262243875832;referral;ya_undefined;link.2gis.ru;;;;;http://link.2gis.ru/9D0E6A23/grym/20170301/perm/8007d000065a9?http://perm.im-slim.ru;;0;0;;;;;;;;;;;;;;;;0;Russia;Perm;30066;0;300;1;;;windows;windows_7_2008server;opera;12;2;Presto;2;10;289;0;1;1;25;0;37;32;2;1366;768;1366;768;1113;645;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1554099118501005179;34322390;[1554099118501005179,1554104126213195613,1554106456544127647,1554111704898209637];2017-03-29;2017-03-29 17:46:57;2017-03-29 17:46:57;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/price;4;48;0;90.188.119.xxx;[];[];[];[];[];[];[];1490798815277300579;direct;ya_undefined;;;;;;;;0;0;;;;;;;;;;;;;;;;0;Russia;Tomsk;30066;0;420;1;;;windows;windows_7_2008server;chrome;56;0;WebKit;537;36;0;0;1;1;0;0;33;24;2;1344;840;1344;840;1328;710;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1574158509155811446;34322390;[1574158509155811446];2017-03-30;2017-03-30 15:02:18;2017-03-30 15:02:18;0;http://perm.im-slim.ru/price;http://perm.im-slim.ru/price;1;0;1;217.118.83.xxx;[];[];[];[];[];[];[];1481135128816153622;internal;ya_undefined;perm.im-slim.ru;;;;;http://perm.im-slim.ru/;;0;0;;;;;;;;;;;;;;;;0;Russia;;30066;30066;300;2;apple;iPhone;ios_double;ios10;safari_mobile;10;0;WebKit;602;4;6;0;1;1;0;0;11;32;1;375;667;750;1334;980;1461;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
1496042110970505898;34322390;[1496042110970505898,1496055463494287480,1496070312441151605,1496098961831757693];2017-03-27;2017-03-27 04:15:47;2017-03-27 04:15:47;1;http://perm.im-slim.ru/;http://perm.im-slim.ru/price;4;232;0;90.150.126.xxx;[];[24311590,24311590];[1,2];[\'2017-03-27 04:16:38\',\'2017-03-27 04:17:35\'];[0,0];[\'\',\'\'];[,];1490574351190691251;organic;ya_undefined;ru.search.yahoo.com;yahoo;yahoo_search;;;http://ru.search.yahoo.com/search?p=Я похудела пермь&fr=iphone&.tsrc=apple&pcarrier=MTS RUS&pmcc=250&pmnc=01;;0;0;;;;;;;;;;;;;;;;0;Russia;Lysva;30066;30066;360;2;apple;iPhone;ios_double;ios7;safari_mobile;7;0;WebKit;537;51;2;0;1;1;0;0;11;32;1;320;568;640;1136;980;1409;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];0;;0;
