ym:pv:watchID;ym:pv:counterID;ym:pv:date;ym:pv:dateTime;ym:pv:title;ym:pv:URL;ym:pv:referer;ym:pv:UTMCampaign;ym:pv:UTMContent;ym:pv:UTMMedium;ym:pv:UTMSource;ym:pv:UTMTerm;ym:pv:browser;ym:pv:browserMajorVersion;ym:pv:browserMinorVersion;ym:pv:browserCountry;ym:pv:browserEngine;ym:pv:browserEngineVersion1;ym:pv:browserEngineVersion2;ym:pv:browserEngineVersion3;ym:pv:browserEngineVersion4;ym:pv:browserLanguage;ym:pv:clientTimeZone;ym:pv:cookieEnabled;ym:pv:deviceCategory;ym:pv:flashMajor;ym:pv:flashMinor;ym:pv:from;ym:pv:hasGCLID;ym:pv:ipAddress;ym:pv:javascriptEnabled;ym:pv:mobilePhone;ym:pv:mobilePhoneModel;ym:pv:openstatAd;ym:pv:openstatCampaign;ym:pv:openstatService;ym:pv:openstatSource;ym:pv:operatingSystem;ym:pv:operatingSystemRoot;ym:pv:physicalScreenHeight;ym:pv:physicalScreenWidth;ym:pv:regionCity;ym:pv:regionCountry;ym:pv:screenColors;ym:pv:screenFormat;ym:pv:screenHeight;ym:pv:screenOrientation;ym:pv:screenWidth;ym:pv:windowClientHeight;ym:pv:windowClientWidth;ym:pv:params;ym:pv:lastTrafficSource;ym:pv:lastSearchEngine;ym:pv:lastSearchEngineRoot;ym:pv:lastAdvEngine;ym:pv:artificial;ym:pv:pageCharset;ym:pv:link;ym:pv:download;ym:pv:notBounce;ym:pv:lastSocialNetwork;ym:pv:httpError;ym:pv:clientID;ym:pv:networkType;ym:pv:lastSocialNetworkProfile;ym:pv:goalsID;ym:pv:shareService;ym:pv:shareURL;ym:pv:shareTitle;ym:pv:iFrame
1603503340611178380;34322390;2017-03-31;2017-03-31 22:07:59;Я - похудела;http://perm.im-slim.ru/;https://yandex.ru/search/touch/?text=центры снижения веса в перми &lr=21745;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;14909872801019238672;;;[];;;;0
1603507274058043276;34322390;2017-03-31;2017-03-31 22:08:14;;http://perm.im-slim.ru/;;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;direct;;;;1;utf-8;0;0;1;;0;14909872801019238672;;;[];;;;0
1603539546834210508;34322390;2017-03-31;2017-03-31 22:10:17;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;internal;;;;0;utf-8;0;0;0;;0;14909872801019238672;;;[];;;;0
1603543480869326540;34322390;2017-03-31;2017-03-31 22:10:32;;http://perm.im-slim.ru/price;;;;;;;safari_mobile;10;0;ru;WebKit;602;3;12;0;ru;180;1;2;0;0;;0;194.9.226.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Reutov;Russia;32;11;667;1;375;1461;980;;direct;;;;1;utf-8;0;0;1;;0;14909872801019238672;;;[];;;;0
1637481949078751101;34322390;2017-04-02;2017-04-02 10:08:17;Я - похудела;http://perm.im-slim.ru/reviews;https://yandex.ru/search/touch/?text=диетолог пермь отзывы &lr=21741;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;176.59.203.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;;Russia;32;11;667;1;375;1461;980;;organic;yandex_mobile;yandex;;0;utf-8;0;0;0;;0;1491116897599715108;;;[];;;;0
1637485840556885860;34322390;2017-04-02;2017-04-02 10:08:32;;http://perm.im-slim.ru/reviews;;;;;;;safari_mobile;10;0;ru;WebKit;602;4;6;0;ru;300;1;2;0;0;;0;176.59.203.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;;Russia;32;11;667;1;375;1461;980;;direct;;;;1;utf-8;0;0;1;;0;1491116897599715108;;;[];;;;0
1647391970264352610;34322390;2017-04-02;2017-04-02 20:38:21;Я - похудела;http://perm.im-slim.ru/;http://link.2gis.ru/AB1DB6A9/v4-iphone/20170301/perm/r16_2252328094701356?http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;1;50;0;ru;300;1;2;0;0;;0;46.147.23.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Perm;Russia;32;11;667;1;375;1461;980;;referral;;;;0;utf-8;0;0;0;;0;14911546831061585717;;;[];;;;0
1647395053561970809;34322390;2017-04-02;2017-04-02 20:38:33;Я - похудела;http://perm.im-slim.ru/price;http://perm.im-slim.ru/;;;;;;safari_mobile;10;0;ru;WebKit;602;1;50;0;ru;300;1;2;0;0;;0;46.147.23.xxx;1;apple;iPhone;;;;;ios10;ios_double;1334;750;Perm;Russia;32;11;667;1;375;1461;980;;internal;;;;0;utf-8;0;0;0;;0;14911546831061585717;;;[];;;;0
1448016490082600802;34322390;2017-03-25;2017-03-25 01:22:24;Я - похудела;http://perm.im-slim.ru/;http://yandex.ru/clck/jsredir?from=yandex.ru;search%2F;web;;&text=&etext=1370&l10n=ru;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;organic;yandex_search;yandex;;0;utf-8;0;0;0;;0;1490394146677067428;;;[];;;;0
1448020402945656684;34322390;2017-03-25;2017-03-25 01:22:39;;http://perm.im-slim.ru/;;;;;;;chrome;56;0;;WebKit;537;36;0;0;ru;300;1;1;0;0;;0;2.93.196.xxx;1;;;;;;;windows8_1;windows;768;1366;Perm;Russia;24;37;768;2;1366;638;1349;;direct;;;;1;utf-8;0;0;1;;0;1490394146677067428;;;[];;;;0
